country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Malaysia,,,,,,,,,,,,,,,,,,,,0.256,0.206,0.188,0.211,0.174,0.175,0.194,0.244,,,0.281,0.406
Namibia,,,,,,,,,,,,,,,,,,,,,,,4.15,5.62,5.38,,,,6.32,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,7.23,,,,,,
Nicaragua,,,,,,,,,,,,0.0495,,,,0.674,,,,,,,0.399,,,,,,,,
Netherlands,,,1.63,1.91,2.33,2.52,2.17,1.7,1.37,0.996,,,0.517,0.98,1.45,1.66,1.36,1.01,0.826,0.976,1.22,1.3,1.58,2.24,2.41,2.26,1.82,1.36,1.06,0.889,0.847
Norway,,,,,,1.52,0.926,0.655,0.484,0.353,0.453,0.531,0.628,0.659,0.908,0.822,0.763,0.424,0.375,0.649,0.917,0.708,0.716,0.672,0.741,0.967,1.26,1.07,0.907,0.853,0.925
Nepal,,,,,,,,,,,,,,,,,,,0.437,,,,,,,,,1.5,,,
New Zealand,1.48,2.99,3.37,3.11,2.5,1.58,1.32,1.44,1.67,1.58,1.24,0.95,0.824,0.66,0.465,0.439,0.405,0.304,0.334,0.749,0.932,1.03,1.07,0.842,0.819,0.829,0.925,0.926,0.836,0.732,0.743
Pakistan,,,,,,,,,,,,,,,,,0.091,0.0621,0.07,0.0821,0.0751,0.113,,0.588,0.593,1.02,0.97,,0.56,,
Panama,,,,,,,,0.446,,,,,,0.936,,,,,0.333,0.589,0.294,0.195,0.171,,0.0795,0.267,0.222,0.238,0.374,0.575,2.32
Peru,,,,,,,,,,,,,0.186,0.0683,0.0568,0.076,,,0.0759,,,,,,,,,,0.0241,,
Philippines,,,,,,,,,,,,0.118,,0.0824,0.0893,0.0722,0.0723,0.0488,0.0489,0.0482,0.0315,0.0299,0.0301,0.0271,0.0204,0.0278,0.0157,0.0149,0.0135,0.0116,0.0177
Poland,,,3.75,3.78,3.96,3.55,3.22,3.08,2.74,3.33,4.94,6.01,6.97,7,6.84,6.33,4.76,3.12,1.65,1.93,2.56,2.67,2.9,3.11,2.75,2.2,1.68,1.26,0.905,0.605,0.602
Portugal,,,0.577,1.15,1.67,2.1,2.07,1.96,1.34,1.54,1.03,0.909,1.16,1.67,2.07,2.5,2.58,2.46,2.35,3.05,3.83,4.5,5.9,6.48,5.45,4.65,4.16,3.01,2.16,1.8,1.84
Paraguay,,,,,,,,,0.578,0.986,,0.691,1.33,1.29,0.87,0.564,0.772,0.806,0.75,1.28,0.664,0.709,0.518,0.615,0.73,0.805,0.659,0.518,0.431,0.274,
Palestine,,,,,,,,,,,1.21,4.69,7.53,5.77,5.42,4.64,4.02,3.66,5.22,4.59,5.08,2.9,3.17,3.22,3.8,3.7,3.16,3.39,3.73,4.12,3.93
Qatar,,,,,,,,,,,,,,,,,,,,0.123,,0.0888,0.066,0.0395,0.0312,0.0244,0.0257,0.0248,,0.025,0.0466
Romania,,,,,,,,2.01,2.09,2.6,3.04,2.61,3.59,3,3.28,2.88,3.09,2.49,2.02,2.19,2.36,2.38,2.33,2.52,2.39,2.57,2.32,1.88,1.64,1.4,1.36
Russia,,,0.597,0.969,1.71,2.34,2.79,3.67,4.16,4.65,3.67,2.77,2.48,2.55,2.45,2.27,2.47,2.06,1.85,2.22,2.28,2.22,1.72,1.74,1.6,1.68,1.74,1.63,1.44,1.24,1.36
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,0.296,,,1.41,0.658,0.813,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,0.873,,1.4,0.963,0.769,,,0.813,,,,1.24
Sudan,,,,,,,,,,,,,,,,,,,,,,3.01,,,,,,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,0.454,0.399,0.221,,0.0577,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,0.789,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,4.07,4.52,5.76,7.35,7.81,7.06,6.11,5.29,4.73,4.01,3.76,3.03,2.48
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,0.979,,,,
Slovak Republic,,,,,4.3,4.43,3.72,3.69,4.1,5.44,7.63,8.27,8.36,7.72,8.02,7.26,6.04,4.78,3.86,4.56,6.66,6.51,6.44,6.84,6.26,4.59,3.86,3.6,2.74,2.38,2.32
Slovenia,,,,,,,2.65,2.43,2.74,2.67,2.8,2.21,2.38,2.41,2.14,2.24,1.86,1.38,1.28,1.71,2.77,2.84,2.95,3.56,3.37,2.93,2.74,2.08,1.51,1.24,1.25
Sweden,0.226,0.483,1.18,2.35,2.93,2.31,3.19,3.1,3.09,2.12,1.49,1.02,1.16,1.25,1.62,0.345,0.919,1.07,0.992,1.67,1.96,1.73,1.79,1.76,1.73,1.63,1.55,1.51,1.39,1.27,1.48
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.894,,,
Thailand,,,,,,,,,,,,,,,,,,,,0.138,0.0843,0.118,0.0887,0.0152,0.0668,0.0662,0.0738,0.111,0.0829,0.069,0.114
Tajikistan,,,,,,,,,,,,,,,,,,,,0.754,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0698,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,5.31,4.62,,4.45,4.29,4.16,,,
Turkey,2.8,2.84,3.07,3.13,3.1,2.34,2.39,2.06,2.16,1.95,1.14,1.46,2.39,1.98,2.9,2.76,1.75,1.65,1.71,2.41,2.02,1.48,1.27,1.3,1.4,1.5,1.54,1.58,1.58,2.26,2.43
Tanzania,,,,,,,,,,,,0.887,,,,,0.745,,,,,,,,0.585,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,0.558,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,1.79,2.05,1.6,1.65,1.57,1.52,1.88,1.83,2.15,1.61,1.12,1.58
Uruguay,,,,,,,,,,,,,,,,,0.524,0.288,0.171,0.163,0.132,0.0851,0.0844,0.0792,0.0848,0.163,0.147,0.115,0.175,0.158,0.265
United States,0.384,0.592,0.997,0.893,0.876,0.663,0.634,0.527,0.428,0.355,0.317,0.394,0.732,0.915,0.812,0.668,0.568,0.56,0.801,2.02,2.73,2.38,1.97,1.68,1.25,0.944,0.798,0.663,0.538,0.511,0.837
Venezuela,,,,,,,,,,,,,,,,1.24,1.26,0.751,0.66,0.667,0.807,0.777,0.685,,,,0.684,0.614,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,0.266,0.241,0.199,0.35,,,,,0.33,0.248
Vanuatu,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,0.642,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,1.46,,,,0.99,,,,,,
South Africa,,,,,,,,,,,,3.03,2.92,2.71,2.41,2.11,1.84,1.94,5.92,6.57,7.21,7.22,7.27,7.24,7.3,7.36,8.02,8.47,8.54,9.24,8.95
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,1.78,2.16,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,1.46,,,,,2.64,
